id,asset,source,owner_or_channel,use_method,hosting,editorial_purpose,amount_used,basis_or_authorization,territory_or_availability,status,fallback
R01,Nice Dreams restaurant video,https://www.youtube.com/watch?v=ICzJOmFRoJc,NOW PLAYING channel and underlying film rightsholder,click-to-load privacy-enhanced embed plus external link,embedded by YouTube,Direct criticism of the New Wave exchange,Platform player begins at 9:21 and no audiovisual data is copied,YouTube embed remains enabled and is used through official player,Availability may vary by territory or later channel setting,verified 2026-08-25; no download or rehost,Keep short author transcript and direct timestamped link
R02,nice-dreams-new-wave-scene.png,User-supplied screenshot from Nice Dreams,Underlying film rightsholder,research reference only,not published,Identify the exact discussed scene,Zero public pixels,User expressly prohibited rehosting third-party film media,Not applicable while unpublished,retained unchanged in handoff only,Use original hero and platform poster
R03,new-wave-mesh-original-concept.jpeg,User-created prior concept map,User,research reference only,not published,Preserve the organizing idea without copying the crowded design,Zero public pixels,User-owned source artifact,Not applicable while unpublished,retained unchanged in handoff only,Use six original focused graphics
R04,Four XTC and Primus comparison pairs,Exact URLs in track-ledger.json,Artists labels publishers and Spotify,click-to-load official iframe plus exact external link,embedded by Spotify,Let readers hear original and cover beside each other,Eight individual track objects; no playlist and no copied audio,Spotify official embed workflow and enabled objects,Playback login and territory may vary,all eight oEmbed objects verified 2026-08-25,Readable metadata listening note and exact link remain
R05,Giorgio by Moroder,https://open.spotify.com/track/0oks4FnzhNp5QPTZtoet7c,Daft Punk rights holders and Spotify,click-to-load official iframe plus exact external link,embedded by Spotify,Retrospective listening coda,One individual track object; no copied audio,Spotify official embed workflow and enabled object,Playback login and territory may vary,oEmbed object verified 2026-08-25,Readable coda and exact link remain
R06,Short Nice Dreams transcript,Author-supplied transcript checked against the linked timestamp,Underlying film rightsholder,short textual quotation,hosted as article text,Criticism of the exact exchange,Five short dialogue turns directly discussed,Case-specific criticism and comment posture; no blanket legal conclusion,Text remains available when player is blocked,editorially approved; wording distinction preserved,Paraphrase the scene if a later legal review requires narrower treatment
R07,Original hero and four social derivatives,Created locally for HobFarm,HobFarm and user,full original artwork,source-controlled public assets,Introduce restaurant scene and network without actor likeness or film still,Full original illustration,Original commissioned editorial work,No territory issue,complete; checksums in asset-manifest.json,Text title dek and alt remain
R08,Five explanatory diagrams,Created locally for HobFarm,HobFarm and user,full original vector artwork,source-controlled public assets,Explain typed edges geography production transfer Reubens route and chronology,Full original diagrams generated from verified data,Original commissioned editorial work,No territory issue,complete; checksums in asset-manifest.json,Visible text equivalents follow every figure
R09,Album song band and film names,Verified public credits and factual labels,Respective trademark and copyright owners,nominative factual use,hosted in original diagrams and prose,Identify the works and relationships under discussion,Names and short titles only,Nominative editorial reference with no copied logos or trade dress,No territory issue,complete,Plain prose remains
R10,Third-party album covers artist photos and studio logos,Potential discovery sources,Respective owners,excluded,not hosted,No necessary editorial purpose after original design pass,Zero,Not authorized or needed,Not applicable,excluded by design,Original typography and abstract symbols
R11,Hamburger Train,https://open.spotify.com/track/0tdWYwH8xIOoSeNoEz7QqV,Primus rights holders and Spotify,click-to-load official iframe plus exact external link,embedded by Spotify,Connect the Nice Dreams restaurant scene directly to Primus,One individual track object; no copied audio,Spotify official embed workflow and enabled object,Playback login and territory may vary,oEmbed object verified 2026-08-25,Readable quotation context metadata and exact link remain
