id,source,type,supports,url,authority,accessed
S01,Original Farmers Market,official institutional history,"Third and Fairfax evolution; dairy farm, oil field, Farmers Market, Gilmore Stadium, Gilmore Field, Gilmore Drive-In; Grove approximate drive-in site",https://farmersmarketla.com/history,high,2026-07-25
S02,"Los Angeles Conservancy, CBS Television City historic assessment",preservation organization report,Gilmore Stadium parcel; sale to CBS; Television City development and significance,https://www.laconservancy.org/wp-content/uploads/2022/11/CBSTelevisionCity_7800Beverly_FINAL.pdf,high,2026-07-25
S03,"San Diego Automotive Museum, The Plank Road",museum history,1912 promotional race; 1915 and 1916 plank roads; 1926 paved replacement; surviving remnants,https://sdautomuseum.org/explore/galleries/the-plank-road/,high,2026-07-25
S04,"The Henry Ford, Board Track, Playa Del Rey",museum collection record,Los Angeles Motordrome operated 1910-1913; wood was smooth and inexpensive but decayed,https://www.thehenryford.org/collections/explore/artifact/377236,high,2026-07-25
S05,"National Film Preservation Foundation, Beverly Hills Board Track Racing",film preservation institution,1921 film; Beverly Hills Speedway 1920-1924; Shrimp Burns record; preserved film availability,https://www.filmpreservation.org/preserved-films/screening-room/beverly-hills-board-track-racing-1921,high,2026-07-25
S06,"Culver City Historical Society, The Historic Culver City Racing Scene",local historical society,Beverly Hills to Culver City board-track sequence; attendance; speeds; land-value pressure; speed-shop ecosystem,https://www.culvercityhistoricalsociety.org/the-historic-culver-city-racing-scene/,medium-high,2026-07-25
S07,"D23, The Love Bug",official Disney reference,"Release information and filming at San Francisco, Willow Springs, Riverside Raceway, and Monterey Peninsula",https://d23.com/a-to-z/love-bug-the-film/,high,2026-07-25
S08,"National Park Service, Paramount Ranch",federal site history,Paramount Raceway opened 1956; closed after 18 months; appeared in The Love Bug; much of course survives,https://www.nps.gov/samo/planyourvisit/paramountranch.htm,high,2026-07-25
S09,"AFI Catalog, Pit Stop",film institute catalog,Jack Hill chose figure-eight racing at Ascot Park; principal photography in 1967 around Los Angeles; production cost,https://catalog.afi.com/Film/18752-PIT-STOP?cxt=filmography,high,2026-07-25
S10,"Grand Prix of Long Beach, Track History",official race history,"First F5000 race, Formula One era, CART transition, continuing street-race model",https://gplb.com/track-history,high,2026-07-25
S11,"Willow Springs Raceway, About",official track history,Founded 1953; oldest permanent US road course claim; original 2.5-mile nine-turn configuration remains,https://www.willowspringsraceway.com/about/,high,2026-07-25
S12,"Irwindale Speedway, closure announcement",official track release,"Opened 1999; final event December 21, 2024; events and cultural role",https://irwindalespeedway.com/7402-2/,high,2026-07-25
S13,"SCTA, El Mirage General Information",official racing organization,El Mirage as land-speed site; SCTA formed to enforce safety and promote the sport,https://scta-bni.org/el-mirage-general-info,high,2026-07-25
S14,"SEMA, The Beginning of Hot Rod Magazine",industry association history,SCTA formed 1937; 1948 Armory show; Los Angeles speed shops; first Hot Rod issue January 1948,https://www.sema.org/news-media/enews/2023/01/beginning-hot-rod-magazine,high,2026-07-25
S15,"NHRA, About NHRA",official organization history,Wally Parks founded NHRA in 1951 to provide competitors places to race,https://www.nhra.com/about-nhra,high,2026-07-25
S16,"Lions Automobilia Foundation, Lions Drag Strip",specialist museum/foundation,Opening in 1955; Mickey Thompson; community-charity model; closure in 1972 after noise complaints,https://lionsautomobilia.org/lions-drag-strip/,medium-high,2026-07-25
S17,"NHRA, The Rise and Fall of Orange County International Raceway",official motorsport history,OCIR operated 1967-1983; purpose-built professionalism; Irvine Ranch land and planned development,https://www.nhra.com/news/2008/rise-and-fall-orange-county-int-l-raceway,high,2026-07-25
S18,"City of Ontario, Ontario Motor Speedway Park",municipal history,Speedway closed after 1980; Chevron purchase; park and Chevron Center redevelopment,https://www.ontarioca.gov/government/communitylife/recreation-community-services/parks/ontario-motor-speedway-park,high,2026-07-25
S19,"University of San Diego, San Diego Lowrider Archival Project",university archive,"Lowriding in San Diego and borderlands from 1950s; cultural pride, activism, community, continuity",https://digital.sandiego.edu/lowriders/,high,2026-07-25
S20,"Chicano Park Museum, San Diego Lowrider Council",community museum,Council formed 1979; unity among clubs and barrios; Chicano Park involvement; anti-cruising struggles,https://chicanoparkmuseum.org/museum-exhibitions/p-i-l-l-a-r-s/san-diego-lowrider-council/,high,2026-07-25
S21,"Cycle World, Fonzie’s Triumph to Auction",motorcycle publication archive,"Bud Ekins as Southern California racer, stunt rider, dealer, and Hollywood supplier; TR5 customization",https://magazine.cycleworld.com/article/2011/11/1/fonzies-triumph-to-auction,medium-high,2026-07-25
S22,"Hot Rod, Big 3 Auto Parts Exchange",specialist publication,"Scale, parts network, camping and social function of Big 3 at Qualcomm Stadium",https://www.hotrod.com/news/searching-for-parts-at-the-big-3-auto-exchange-2016-in-san-diego,medium-high,2026-07-25
S23,"Jalopy Journal, Big 3 Parts Exchange 2013 thread",contemporary event record,"Confirms February 22-24, 2013 event at Qualcomm Stadium",https://www.jalopyjournal.com/forum/threads/big-3-parts-exchange-san-diego-whos-going.774683/,medium,2026-07-25
S24,"Los Angeles Magazine, In Memory of the Pan-Pacific Auditorium",architectural history feature,"Pan-Pacific opening, location, architecture, decline, cultural memory",https://lamag.com/architecture/memory-pan-pacific-auditorium/,medium-high,2026-07-25
S25,"Wikimedia Commons, Pan-Pacific Auditorium entrance",licensed image record,HABS/NPS public-domain architectural photograph and credit metadata,https://commons.wikimedia.org/wiki/File:Pan-Pacific_Auditorium_entrance.jpg,high,2026-07-25
S26,"Wikimedia Commons, Pan-Pacific Auditorium 1985",licensed image record,Pavel Dvorak photograph released CC0,https://commons.wikimedia.org/wiki/File:Pan_Pacfic_Auditorium.jpg,high,2026-07-25
S27,"Wikimedia Commons, Gilmore Stadium category",licensed image index,"Public-domain Los Angeles Daily News photographs of stadium, racing, sports, and demolition",https://commons.wikimedia.org/wiki/Category:Gilmore_Stadium,high,2026-07-25
S28,"Wikimedia Commons, Midget racing at Gilmore Stadium",licensed image index,Public-domain Gilmore race photographs and metadata,https://commons.wikimedia.org/wiki/Category:Midget_car_racing_at_Gilmore_Stadium,high,2026-07-25
S29,"Wikimedia Commons, Ascot Park aerial 1972",licensed image record,USGS public-domain aerial view,https://commons.wikimedia.org/wiki/File:Ascot_Park_speedway_1972.jpg,high,2026-07-25
S30,"Wikimedia Commons, Riverside final NASCAR race 1988",licensed image record,Jay Bonvouloir image under CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:RiversideInternationalRaceway_1988.jpg,high,2026-07-25
S31,"Wikimedia Commons, Bennett Hill at Beverly Hills Speedway",licensed image record,Public-domain 1920 board-track racing image,https://commons.wikimedia.org/wiki/File:BennettHill1920BeverlyHills.jpg,high,2026-07-25
S32,"Wikimedia Commons, Playa del Rey Motordrome photograph",licensed image record,Pre-1931 public-domain magazine image,https://commons.wikimedia.org/wiki/File:Motordrome_photo_in_the_Bystander_magazine.jpg,high,2026-07-25
S33,"Wikimedia Commons, Playa del Rey Motordrome map",licensed image record,"1914 AAA map, public domain",https://commons.wikimedia.org/wiki/File:Motordrome_1914.jpg,high,2026-07-25
S34,"Los Angeles Times archive, End of an Era at Ascot",newspaper archive,"Ascot final season and 1990 closure; 5,000-plus main events",https://www.latimes.com/archives/la-xpm-1990-11-17-sp-4174-story.html,medium-high,2026-07-25
S35,Riverside International Raceway historical synthesis,secondary reference with cited newspaper sources,"1957-1989 operation; mall, housing, hotels, retail and civic redevelopment on former site",https://en.wikipedia.org/wiki/Riverside_International_Raceway,medium,2026-07-25
S36,Solar Midget reference,secondary specialist summary pending stronger primary receipt,Solar Aircraft midget design and 1945-1946 production details,https://en.wikipedia.org/wiki/Solar_Midget,medium-low,2026-07-25
S37,"Wikimedia Commons, Gene Doyle at Gilmore Stadium",licensed image record,January 1951 image; public domain in the United States,https://commons.wikimedia.org/wiki/File:Gilmore_Stadium_before_being_demolished_1951.jpg,high,2026-07-25
