source_node,target_node,edge_type,date_or_period,project_or_work,evidence_source,evidence_url,confidence,article_section,public_graphic,notes
Brian Eno,Roxy Music,member of,1971-1973,Roxy Music,Brian Eno official biography,https://www.brian-eno.net/about/,high,routers,yes,Membership route only; later solo work remains separate.
Brian Eno,Robert Fripp,collaborated with,1973 onward,(No Pussyfooting) and later work,Brian Eno official biography,https://www.brian-eno.net/about/,high,routers,yes,Project-specific collaboration.
Brian Eno,David Bowie,collaborated with,1977-1979,Low Heroes and Lodger,David Bowie official archive,https://www.davidbowie.com/,high,routers,yes,Bowie and Tony Visconti production roles remain visible in prose.
Brian Eno,Talking Heads,produced,1978-1980,More Songs About Buildings and Food Fear of Music Remain in Light,Brian Eno official biography,https://www.brian-eno.net/about/,high,mesh audible,yes,Three-album production sequence.
Brian Eno,Devo,produced,1978,Q: Are We Not Men? A: We Are Devo!,Devo participant interview,https://www.theguardian.com/music/2022/apr/14/devo-richard-branson-almost-killed-us-in-the-jamaican-mountains,high,mesh audible,yes,Bowie interest is discussed without assigning him the producer credit.
Brian Eno,David Byrne,collaborated with,1981 onward,My Life in the Bush of Ghosts and later work,Brian Eno official biography,https://www.brian-eno.net/about/,high,routers,yes,Project collaboration.
Robert Fripp,David Bowie,performed on,1977,Heroes,David Bowie official archive,https://www.davidbowie.com/,high,routers,yes,Guitar performance credit.
Adrian Belew,David Bowie,performed on,1978-1979,Isolar II tour and Lodger-era work,Adrian Belew official biography,https://adrianbelew.net/adrian-belew-bio/,high,King Crimson node,yes,First-party biography.
Adrian Belew,Talking Heads,performed on,1980,Remain in Light and touring,Adrian Belew official biography,https://adrianbelew.net/adrian-belew-bio/,high,King Crimson node,yes,Studio and tour route.
Adrian Belew,King Crimson,member of,1981-1984,Discipline Beat Three of a Perfect Pair,DGM Live official archive,https://dgmlive.com/tours?artist=8&order=&year=,high,King Crimson node,yes,Same quartet recorded three successive studio albums.
Tony Levin,Peter Gabriel,performed on,1977 onward,Peter Gabriel albums and tours,Tony Levin official biography,https://tonylevin.com/about,high,King Crimson node,yes,First work begins in 1977.
Tony Levin,King Crimson,member of,1981-1984,Discipline Beat Three of a Perfect Pair,DGM Live official archive,https://dgmlive.com/tours?artist=8&order=&year=,high,King Crimson node,yes,Chapman Stick is discussed as instrumentation.
Steve Lillywhite,XTC,produced,1979,Drums and Wires,Peter Gabriel official account,https://petergabriel.com/release/peter-gabriel-3/,high,XTC to Gabriel,yes,Credit and team-transfer route.
Hugh Padgham,XTC,engineered,1979,Drums and Wires,Peter Gabriel official account,https://petergabriel.com/release/peter-gabriel-3/,high,XTC to Gabriel,yes,Official Gabriel account explicitly identifies the XTC work.
Steve Lillywhite,Peter Gabriel,produced,1980,Peter Gabriel 3,Peter Gabriel official release page,https://petergabriel.com/release/peter-gabriel-3/,high,XTC to Gabriel,yes,Album producer credit.
Hugh Padgham,Peter Gabriel,engineered,1980,Peter Gabriel 3,Peter Gabriel official release page,https://petergabriel.com/release/peter-gabriel-3/,high,XTC to Gabriel,yes,Engineering and gate-experiment route.
Phil Collins,Peter Gabriel,performed on,1980,Intruder,Peter Gabriel official release page,https://petergabriel.com/release/peter-gabriel-3/,high,XTC to Gabriel,yes,Drum performance.
Giorgio Moroder,Donna Summer,produced,1977,I Feel Love,Library of Congress National Recording Registry essay,https://www.loc.gov/static/programs/national-recording-preservation-board/documents/I-Feel-Love.pdf,high,Moroder,yes,Production route with Pete Bellotte retained in prose.
Giorgio Moroder,Japan,produced,1979,Life in Tokyo,Giorgio Moroder official SoundCloud object,https://soundcloud.com/giorgiomoroder/japan-life-in-tokyo,high,Japan mutation,yes,The single is one point in a change the band continued itself.
Giorgio Moroder,Blondie,collaborated with,1980,Call Me,Giorgio Moroder official archive,https://www.giorgiomoroder.com/music/blondie-call-me/,high,Moroder,no,Writing and production collaboration with Debbie Harry.
Giorgio Moroder,David Bowie,collaborated with,1982,Cat People,Giorgio Moroder official archive,https://www.giorgiomoroder.com/music/cat-people/,high,Moroder,yes,Film and song collaboration.
Giorgio Moroder,Limahl,produced,1984,The NeverEnding Story,Giorgio Moroder official music archive,https://www.giorgiomoroder.com/music/,high,screen branch,yes,The Klaus Doldinger soundtrack credit remains explicit.
