id,source,type,supports,url,authority,accessed
S01,"RSS Advisory Board, RSS History",standards history,"RSS 0.90 in March 1999; RSS 0.91 in July 1999; RSS 2.0 lineage",https://www.rssboard.org/rss-history,high,2026-08-12
S02,"Netscape, RSS 0.90 Specification",original specification,"RSS 0.90 publication date and the instruction to place an Add Channel button on a site",https://www.rssboard.org/rss-0-9-0,high,2026-08-12
S03,"RSS 0.92 Specification",original specification,"The enclosure element was present by December 2000 and carries a URL, byte length, and media type",https://www.rssboard.org/rss-0-9-2,high,2026-08-12
S04,"IETF RFC 4287, The Atom Syndication Format",internet standard,"Atom is a distinct XML syndication format standardized in December 2005",https://www.rfc-editor.org/rfc/rfc4287,high,2026-08-12
S05,"Google Reader Blog, A second spring of cleaning",official product announcement,"Google announced Reader's July 1 2013 retirement and cited declining use and product focus",https://googlereader.blogspot.com/2013/03/powering-down-google-reader.html,high,2026-08-12
S06,"Mozilla Support, Feed reader replacements for Firefox",official product documentation,"Firefox removed built-in feed preview and Live Bookmarks in Firefox 64 in December 2018; OPML export was provided",https://support.mozilla.org/en-US/kb/feed-reader-replacements-firefox,high,2026-08-12
S07,"Apple Podcasts for Creators, Podcast RSS feed requirements",official platform documentation,"Podcast feeds use RSS 2.0 and episode enclosure and GUID elements",https://podcasters.apple.com/support/823-podcast-requirements,high,2026-08-12
S08,"Andrej Karpathy, RSS post",first-party social post,"February 1 2026 argument for RSS as open infrastructure and a link to a 92-feed OPML cold start",https://x.com/karpathy/status/2018043254986703167,medium-high,2026-08-12
S09,"Evan Schwartz, Most Popular Blogs HN 2025",first-party code artifact,"OPML conversion containing 92 feeds and identifying the HN Popularity Contest as its source",https://gist.github.com/emschwartz/e6d2bf860ccc367fe37ff953ba6de66b,high,2026-08-12
S10,"Michael Lynch, Hacker News Popularity Contest",first-party methodology,"How qualifying personal blogs and Hacker News scores were aggregated for the 2025 list",https://refactoringenglish.com/tools/hn-popularity/methodology/,high,2026-08-12
S11,"Thunderbird Support, How to subscribe to news feeds and blogs",official product documentation,"Feed-account setup, URL subscription, reading, update checks, and OPML import and export",https://support.mozilla.org/en-US/kb/how-subscribe-news-feeds-and-blogs,high,2026-08-12
S12,"NetNewsWire Help, Getting Started",official product documentation,"Adding a web feed by URL and importing OPML",https://netnewswire.com/help/mac/6.1/en/getting-started.html,high,2026-08-12
S13,"Feedly Documentation, How to follow sources",official product documentation,"Following a site or feed URL and saving it to a folder",https://docs.feedly.com/article/806-how-to-follow-sources,high,2026-08-12
S14,"FreshRSS Documentation, Subscriptions",official product documentation,"Adding an RSS or Atom URL through subscription management",https://freshrss.github.io/FreshRSS/en/users/04_Subscriptions.html,high,2026-08-12
S15,"YouTube Data API, Push notifications",official platform documentation,"YouTube distributes channel update notifications as Atom entries",https://developers.google.com/youtube/v3/guides/push_notifications,high,2026-08-12
S16,"YouTube Help, Deliver podcasts using an RSS feed",official platform documentation,"Eligible audio-first podcasters can connect an RSS feed to YouTube Studio",https://support.google.com/youtube/answer/13973017,high,2026-08-12
S17,"GitHub REST API, Feeds",official platform documentation,"GitHub exposes activity and security-advisory feeds and supports Atom",https://docs.github.com/en/rest/activity/feeds,high,2026-08-12
S18,"arXiv Help, RSS Feeds",official institutional documentation,"arXiv offers RSS and Atom feeds for active subject areas and updates them daily",https://info.arxiv.org/help/rss.html,high,2026-08-12
S19,"USGS, Earthquake Hazards Program Feeds",official government data,"USGS provides real-time earthquake feeds and recommends Atom for most feed-reader uses",https://earthquake.usgs.gov/earthquakes/feed/,high,2026-08-12
S20,"National Weather Service, Alerts Web Service",official government data,"NWS exposes indexes of active alerts as Atom and alert documents as CAP",https://www.weather.gov/documentation/services-web-alerts,high,2026-08-12
S21,"SEC, Structured Disclosure RSS Feeds",official government data,"SEC publishes recurring structured-disclosure submission feeds",https://www.sec.gov/data-research/structured-data/structured-disclosure-rss-feeds,high,2026-08-12
S22,"GovInfo, RSS Feeds",official government data,"GovInfo publishes collection and search-based feeds",https://www.govinfo.gov/feeds,high,2026-08-12
S23,"odysseus0/feed",first-party software repository,"A small feed engine offers discovery, OPML import and export, search, and agent-facing use",https://github.com/odysseus0/feed,medium,2026-08-12
S24,"0xquinto/rss-mcp",first-party software repository,"A small MCP server manages subscriptions, search, OPML, and digests",https://github.com/0xquinto/rss-mcp,medium,2026-08-12
S25,"HarrisHan/ai-daily-digest",first-party software repository,"A small project fetches feeds, filters by time, scores items with an LLM, and produces a digest",https://github.com/HarrisHan/ai-daily-digest,medium,2026-08-12
S26,"HobFarm, The Future Was Already There",author-owned prior article,"The May 28 2006 YouTube upload and the author's early web-video experience that opens this article",https://hob.farm/articles/the-future-was-already-there/,high,2026-08-12
