id,claim_or_use,source_title,publisher,source_type,url,status,article_section,notes
S01,"Nice Dreams film credits, release, Reubens role",AFI Catalog: Nice Dreams,American Film Institute,primary/archival,https://catalog.afi.com/Film/56571-NICE-DREAMS,starter,opening,Verify release and production notes.
S02,Groundlings casting and Pee-wee credit in Cheech & Chong's Next Movie,AFI Catalog: Cheech and Chong's Next Movie,American Film Institute,primary/archival,https://catalog.afi.com/Film/56386-CHEECH-AND-CHONG%27S-NEXT-MOVIE,starter,Reubens bridge,Verify exact production-history language.
S03,Phil Hartman Groundlings dates and Pee-wee credits,Phil Hartman,The Groundlings,first-party institutional,https://groundlings.com/people/phil-hartman,starter,Reubens bridge,Use exact wording.
S04,Eno biography and selected production relationships,About Brian Eno,Brian Eno official site,first-party,https://www.brian-eno.net/about/,starter,routers,Supplement with album credits.
S05,"Devo, Bowie, and Eno production account",Devo interview,The Guardian,secondary interview,https://www.theguardian.com/music/2022/apr/14/devo-richard-branson-almost-killed-us-in-the-jamaican-mountains,lead,Devo,Prefer first-party album credits for exact roles.
S06,Peter Gabriel 3 and XTC/gated-drum account,Peter Gabriel 3,Peter Gabriel official site,first-party,https://petergabriel.com/release/peter-gabriel-3/,starter,XTC to Gabriel,Load actual release page and quote sparingly.
S07,Peter Gabriel 3 at 40,Peter Gabriel 3 at 40,Peter Gabriel official site,first-party,https://petergabriel.com/news/peter-gabriel-3-at-40/,starter,XTC to Gabriel,Useful technical context.
S08,Japan's transition and recording methods,"Classic Tracks: Japan, Ghosts",Sound on Sound,technical secondary,https://www.soundonsound.com/techniques/classic-tracks-japan-ghosts,lead,Japan,Supplement with official credits.
S09,Moroder and Life in Tokyo,"Japan, Life in Tokyo",Giorgio Moroder official SoundCloud,first-party platform,https://soundcloud.com/giorgiomoroder/japan-life-in-tokyo,starter,Japan/Moroder,Verify description and credits.
S10,The NeverEnding Story soundtrack role,The NeverEnding Story,Giorgio Moroder official site,first-party,https://www.giorgiomoroder.com/music/the-neverending-story/,starter,film and television,"Verify Doldinger, Limahl, Forsey."
S11,Moroder's oral history and sound-of-future framing,Random Access Memories,Daft Punk official site,first-party,https://daftpunk.com/randomaccessmemories/,starter,coda,Do not reproduce long transcript.
S12,Spotify embed implementation,Embeds,Spotify for Developers,official documentation,https://developer.spotify.com/documentation/embeds,starter,implementation,Check current generated code.
S13,Spotify encrypted-media requirement,Troubleshooting Embeds,Spotify for Developers,official documentation,https://developer.spotify.com/documentation/embeds/tutorials/troubleshooting,starter,implementation,Preserve allow=encrypted-media.
S14,YouTube start-time and player behavior,YouTube IFrame Player API,Google for Developers,official documentation,https://developers.google.com/youtube/iframe_api_reference,starter,implementation,Verify current component can set startSeconds.
S15,Fair-use framework and four factors,U.S. Copyright Office Fair Use Index,U.S. Copyright Office,official government,https://www.copyright.gov/fair-use/,starter,rights,"Case-specific, not a blanket approval."
S16,Mothersbaugh and Pee-wee chronology,The Frame interview,LAist,first-party interview,https://laist.com/shows/the-frame/the-frame-for-october-22-2015,lead,Reubens bridge,Verify transcript and exact statements.
S17,Mothersbaugh on Reubens and Playhouse,Mark Mothersbaugh remembers Paul Reubens,Pitchfork,first-party remembrance,https://pitchfork.com/news/devos-mark-motherbaugh-remembers-pee-wees-playhouse-collaborator-paul-reubens/,lead,Reubens bridge,Use for career impact and relationship.
S18,"Elfman, Oingo Boingo, and Reubens",Danny Elfman interview,The Ringer,first-party interview,https://www.theringer.com/2021/06/10/music/danny-elfman-big-mess-interview-oingo-boingo,lead,Reubens bridge,Supplement with film credits.
