id,claim_or_use,source_title,publisher,source_type,url,status,claim_class,article_section,notes
S01,Nice Dreams release credits Reubens role and improvisational production context,AFI Catalog: Nice Dreams,American Film Institute,primary archival,https://catalog.afi.com/Film/56571-NICE-DREAMS,verified,documented fact,opening,The five-page screenplay note supports a loose production process but not authorship of the exact line.
S02,Exact source scene title timestamp current channel and platform availability,Paul Reubens Dinner While High | Nice Dreams (1981),NOW PLAYING,platform source,https://www.youtube.com/watch?v=ICzJOmFRoJc&t=561s,verified 2026-08-25,author transcript plus platform fact,opening,Embed endpoint and oEmbed metadata responded successfully; short quoted wording follows the user transcript.
S03,Pee-wee feature appearance and Groundlings casting route,AFI Catalog: Cheech & Chong's Next Movie,American Film Institute,primary archival,https://catalog.afi.com/Film/56386-CHEECH-AND-CHONG%27S-NEXT-MOVIE,verified,documented fact,Reubens bridge,Used only for specific production history.
S04,Groundlings development of Pee-wee stage show and troupe cast,Our History,The Groundlings,first-party institutional,https://groundlings.com/about/history,verified,documented fact,Reubens bridge,The first alternative-format show is dated to 1981.
S05,Phil Hartman Groundlings dates Captain Carl and co-writing credit,Phil Hartman,The Groundlings,first-party institutional,https://groundlings.com/people/phil-hartman,verified,documented fact,Reubens bridge,Official page supplies all three credits.
S06,Reubens Mothersbaugh Big Adventure approach Elfman handoff and Playhouse career turn,Mark Mothersbaugh Remembers Paul Reubens,Pitchfork,participant remembrance,https://pitchfork.com/news/devos-mark-motherbaugh-remembers-pee-wees-playhouse-collaborator-paul-reubens/,verified,participant recollection,Reubens bridge,Recollection is attributed and not converted into universal fact.
S07,Reubens heard Oingo Boingo film work and selected Elfman for Big Adventure,Danny Elfman interview,The Ringer,participant interview,https://www.theringer.com/2021/06/10/music/danny-elfman-big-mess-interview-oingo-boingo,verified,participant recollection,Reubens bridge,Elfman's first-person account.
S08,Eno membership and major collaboration and production routes,About Brian Eno,Brian Eno official site,first-party,https://www.brian-eno.net/about/,verified,documented fact,routers,Supplemented by project pages and participant accounts where roles require precision.
S09,Eno experimental-composition background and process,Paul Morley interviews Brian Eno,The Guardian,participant interview,https://www.theguardian.com/music/2010/jan/17/brian-eno-interview-paul-morley,verified,participant recollection,routers,Cage and Cardew are framed as Eno's stated background rather than sole origins.
S10,Bowie Eno Visconti and Fripp roles in 1977 period,David Bowie official archive,David Bowie,first-party,https://www.davidbowie.com/,verified with qualified wording,documented fact,routers,Article avoids crediting Eno as sole producer or author of the records.
S11,Remain in Light release and hybrid rhythmic description,Remain in Light,Talking Heads official store,first-party promotional,https://store.talkingheadsofficial.com/collections/remain-in-light,verified,promotional claim,transatlantic loop,Description is used for category mixture; credit claims have other support.
S12,Bowie interest Eno producer role and German recording,Devo interview,The Guardian,participant interview,https://www.theguardian.com/music/2022/apr/14/devo-richard-branson-almost-killed-us-in-the-jamaican-mountains,verified,participant recollection,transatlantic loop,Bowie involvement is not mislabeled as the album's producer.
