source_id,provider_or_topic,title,url,source_type,supports,checked_at,volatility,refresh_before_publish,notes
S001,Higgsfield,Homepage and current product inventory,https://higgsfield.ai/,official product page,"Current surface, features, model gallery, Seedance 2.5 promotion",2026-08-06,very high,yes,Snapshot exact wording and model inventory again on Aug 11/12.
S002,Higgsfield,AI Video Credits Explained,https://higgsfield.ai/blog/ai-video-credits-explained,official pricing explainer,"Per-clip credit examples, unlimited mechanism, no refund for disliked output, cost per usable result framing",2026-08-06,very high,yes,"Use dated examples, do not generalize beyond published settings."
S003,Higgsfield,Terms of Use Agreement,https://higgsfield.ai/terms-of-use-agreement,official legal terms,"Ownership, license, training, unlimited fair-use language, throttling and suspension",2026-08-06,high,yes,Archive exact version and effective date.
S004,Higgsfield,Archived July 23 terms,https://higgsfield.ai/terms-of-use-agreement-23-07-2026,official archived legal terms,Superseded broad license language and terms controversy,2026-08-06,medium,yes,Confirm page still labels version archived/superseded.
S005,Higgsfield,Terms and Privacy Update,https://higgsfield.ai/blog/terms-of-use-privacy-policy-update,official company explanation,Company summary of revised license and training rules,2026-08-06,medium,yes,"Compare to legal text, do not rely on summary alone."
S006,Higgsfield,Privacy Policy,https://higgsfield.ai/privacy-policy,official legal terms,Training use until deletion and limits of removing data already incorporated into models,2026-08-06,high,yes,Archive exact version.
S007,Higgsfield,Creator Partnership Program,https://higgsfield.ai/blog/creator-partnership-program,official program page,"Credits, early access, promotion, tags and mentions",2026-08-06,high,yes,Do not infer any individual relationship without a direct receipt.
S008,Higgsfield,Dark Side of Higgsfield Growth,https://www.forbes.com/sites/rashishrivastava/2026/02/11/racist-videos-and-payment-problems-the-dark-side-of-this-ai-startups-super-fast-growth/,independent reporting,"X suspension described as inauthentic behavior, prepared promotions, stock footage, payment and unlimited complaints, company responses",2026-08-06,medium,yes,Use precise attribution. Do not upgrade reported claims into findings beyond the reporting.
S009,X,Platform Manipulation and Spam / Authenticity Rules,https://help.x.com/en/rules-and-policies/authenticity,official policy,Context for inauthentic behavior and artificial amplification,2026-08-06,medium,yes,Do not claim exact suspension trigger without X confirmation.
S010,Runway,Pricing,https://runway.com/pricing,official pricing,Current subscription tiers and credits,2026-08-06,very high,yes,Capture exact plan prices on Aug 11/12.
S011,Runway,Product Changelog,https://runway.com/changelog,official changelog,"Agent, Studio, third-party model inventory, workflow changes",2026-08-06,very high,yes,"Use to show platform motion, not as stable inventory."
S012,Runway,API Changelog,https://docs.dev.runwayml.com/api-details/api_changelog/,official developer changelog,"API models, deprecations, model router",2026-08-06,very high,yes,Recheck deprecation dates.
S013,FLORA,Homepage,https://flora.ai/,official product page,Infinite canvas and multi-model creative workflow,2026-08-06,high,yes,Capture supported-model count only if visible at publication.
S014,FLORA,How Pricing Works,https://docs.flora.ai/plans-and-billing/pricing,official docs,Seat pricing and included usage budget,2026-08-06,very high,yes,Recheck plan amounts.
S015,FLORA,Model Pricing,https://docs.flora.ai/plans-and-billing/model-pricing,official docs,Per-generation model prices,2026-08-06,very high,yes,Do not hardcode broad totals without snapshot.
S016,FLORA,Pricing FAQ,https://docs.flora.ai/plans-and-billing/faq,official docs,"Launch bonus through August 31, 2026",2026-08-06,high,yes,Check whether offer changed before publication.
S017,FLORA,Partner Program,https://flora.ai/partners,official program page,"Affiliate revenue, discounts, credits, co-marketing, posting expectations",2026-08-06,high,yes,Use to explain recommendation incentives generally.
