claim_id,claim,basis,classification,publication_rule,status
C001,Quote the unnamed tweet exactly and leave the author unnamed.,user-supplied source text,approved opening fact,"No external receipt required for exact quote, but preserve user-supplied transcript in source package.",ready
C002,The tweet appeared in the author’s feed because the author follows Higgsfield and the post mentioned Higgsfield.,first-person observation,author fact,"Keep as personal account, do not generalize algorithm mechanics beyond inference.",ready
C003,"The poster had earlier posts about Higgsfield terms, but those were not delivered with the viral verdict.",user-supplied screenshots / observation,author fact,Do not identify or profile the poster.,ready
C004,The poster recommended at least one platform whose partner program can provide benefits.,"mixed, needs individual receipt",pending fact,Publish only if a direct archived public disclosure connects the unnamed account to the program. Otherwise generalize to the recommendation economy.,receipt required
C005,Higgsfield’s official X account was suspended and the company said X cited inauthentic behavior.,independent reporting,reported fact,Attribute to Forbes and Higgsfield. X did not publicly specify the exact trigger.,ready with attribution
C006,Higgsfield distributed promotional material containing stock templates and said it was an internal ideation mistake.,independent reporting,reported fact,Attribute both finding and company response to Forbes.,ready with attribution
C007,"Higgsfield has documented creator-payment, account-ban and unlimited-plan complaints.",independent reporting,reported fact,Present complaints and company explanations together.,ready with attribution
C008,Higgsfield’s July 23 terms were superseded by narrower July 26 terms.,official archived/current terms,verified fact,Archive both versions and compare exact clauses.,ready
C009,"Current ordinary-user content can be used for Higgsfield training until deletion, with practical limits once data is incorporated into a trained model.",official terms/privacy,verified fact,Use exact current language and date stamp.,ready
C010,Higgsfield’s published credit examples show Kling 3.0 materially cheaper than Seedance 2.0 for the same stated clip settings.,official company pricing explainer,verified dated example,Keep exact duration/resolution and Aug 3 date.,ready
C011,A platform can be useful for selected jobs without its entire company or feature bundle being good.,reasoned editorial claim,opinion/inference,No citation needed beyond examples.,ready
C012,The same named model may differ across endpoints and wrappers.,prior HobFarm experiments plus independent methodology,grounded inference,"Link Same Model, Different Surface and Artificial Analysis methodology.",ready
C013,Benchmark results do not automatically predict which platform a person should buy.,research synthesis,grounded conclusion,"Explain model benchmark, platform evaluation and production audit as different objects.",ready
C014,Cost per accepted output is more useful than sticker price for production.,production method plus Higgsfield’s own explainer,method claim,Show formula and record assumptions.,ready
C015,Alibaba Model Studio prompt limits forced the author to create a compact provider-specific workflow.,first-person observation,author fact,Verify exact endpoint/model limit from current docs if stated numerically.,ready with endpoint receipt
C016,"Google AI Studio and Google Cloud are different surfaces, and the author’s bad experience was with Cloud/account administration.",official product distinction plus personal observation,mixed fact,Do not claim universal Google usability.,ready
C017,The author found Alibaba Cloud easier to deal with than Google Cloud for basic media API work.,first-person observation,opinion,Clearly scope to author and task.,ready
C018,"The author stopped relying on Grok consumer generation after opaque usage limits, but sometimes uses the API.",first-person dated observation,author fact,Note current API now exposes clearer cost data; do not claim consumer product still behaves identically.,ready
C019,Meta image generation can produce acceptable results but repeatedly imposed harsher moderation for the author’s legal stylized work.,first-person observation,author fact,"Use cardboard-box image as a small footnote, not platform-wide statistical claim.",ready
C020,Chinese image and video models often provide the author a strong quality/price balance.,first-person production assessment,opinion,Do not universalize.,ready
C021,Future access to some Chinese models may be unstable.,inference from regional terms and policy risk,grounded uncertainty,"Use “may,” document BytePlus US unavailability, avoid prediction of definite disappearance.",ready
C022,Direct APIs make many creative platforms optional.,architectural claim,grounded conclusion,"Qualify exceptions: proprietary controls, regional access, better economics, organization and collaboration.",ready
C023,"Local models are the strongest control path but shift cost into VRAM, hardware and maintenance.",technical background plus personal constraint,grounded conclusion,Avoid specific hardware shopping advice unless separately researched.,ready
C024,StyleFusion’s durable asset is the schema/source package; the generated image can be only a test result.,first-person system description,author fact,Verify current StyleFusion repository and public Workshop page.,ready
C025,"This is a capstone synthesis, not a repetition of earlier HobFarm articles.",editorial intent,approved framing,"Use prior articles as links/receipts, not summaries.",ready
C026,"ChatGPT associates Maeric with a male elf strongly enough that instructions restyle him but do not remove the elf identity, while Mara changes freely with context.",repository article and author clarification,author fact,"Link Prompt Goth, Get Boots; distinguish Maeric's baked-in identity association from Mara's context-sensitive appearance and spell Maeric correctly.",ready
