"slug","title","status","date","category","department","legacySeries","presentsSeries","workshopProgram","entryType","format","tags","relatedArticles","centralObject","primarySection","subjects","seriesAndSpecials","people","organizations","places","events","works","publications","technologies","sourceArtifacts","storyModes","confidence","ambiguityNotes"
"1956-automation","IBM in the Bedroom: The 1956 Automation Joke That Still Works","published","2026-06-25T00:00:00.000Z","magazine-time-machine","magazine-time-machine","Magazine Time Machine","","","","article","[""magazine-time-machine"",""ibm"",""automation"",""ai"",""robotics"",""media-history"",""visual-culture"",""labor""]","[""1973-when-airbrush-was-ai""]","A January 1956 Playboy automation cartoon and the technical future it accidentally kept describing.","technology","[""automation"",""computing-history"",""artificial-intelligence"",""labor-history"",""retrofuturism"",""media-history""]","[""magazine-time-machine""]","[]","[""ibm""]","[]","[]","[]","[""playboy""]","[""automation"",""artificial-intelligence"",""robotics""]","[{""id"":""playboy-january-1956-labor-cartoon"",""type"":""magazine"",""label"":""Playboy, January 1956, Labor cartoon"",""publication"":""playboy"",""role"":""origin""}]","[""archive-trail"",""comparative-history""]","high",""
"1973-when-airbrush-was-ai","1973: When Airbrush Was AI","published","2026-03-05T00:00:00.000Z","magazine-time-machine","magazine-time-machine","","","","","article","[""1970s"",""airbrush"",""illustration"",""history"",""ai-parallels""]","[]","The airbrush as an earlier commercial-art technology panic and a comparison point for AI image generation.","art-design","[""commercial-illustration"",""art-history"",""creative-tools"",""ai-image-generation"",""visual-culture""]","[]","[""hajime-sorayama""]","[""hipgnosis""]","[]","[]","[]","[]","[""airbrush"",""ai-image-generation"",""stylefusion""]","[]","[""comparative-history"",""visual-study""]","medium","Legacy Magazine Time Machine filing does not identify one originating magazine artifact, so the canonical series is omitted."
"1985-future-tech","Playboy Drew the Future as Gadgets. The Future Arrived as Infrastructure.","published","2026-06-25T00:00:00.000Z","magazine-time-machine","magazine-time-machine","Magazine Time Machine","","","","article","[""magazine-time-machine"",""retro-futurism"",""future-tech"",""media-history"",""playboy"",""robotics"",""smart-glasses"",""self-driving-cars"",""visual-culture""]","[""1973-when-airbrush-was-ai"",""1956-automation""]","A December 1985 Playboy future-tech spread compared with the infrastructure that actually arrived.","technology","[""retrofuturism"",""consumer-technology"",""media-history"",""automation"",""computing-history""]","[""magazine-time-machine""]","[]","[]","[]","[]","[]","[""playboy""]","[""robotics"",""smart-glasses"",""automation""]","[{""id"":""playboy-december-1985-future-tech"",""type"":""magazine"",""label"":""Playboy, December 1985, Hold On, It's Comin'"",""publication"":""playboy"",""role"":""origin""}]","[""archive-trail"",""comparative-history""]","high",""
"3dm/1933-the-year-warner-bros-built-a-world","1933: The Year Warner Bros. Built a World","published","2026-07-10T00:00:00.000Z","cultural-thread","hobfarm-presents","3dm","3dm","","feature","article","[""3dm"",""Warner Bros."",""1933"",""Busby Berkeley"",""Joan Blondell"",""Ruby Keeler"",""Dick Powell"",""character actors"",""Pre-Code Hollywood""]","[]","Warner Bros.' 1933 musical production system and the Billy Barty route that reaches Dick Miller.","film-tv","[""film-history"",""pre-code-hollywood"",""studio-systems"",""musical-film"",""production-design""]","[""3dm""]","[""busby-berkeley"",""joan-blondell"",""ruby-keeler"",""billy-barty"",""dick-miller""]","[""warner-bros""]","[]","[""great-depression""]","[""42nd-street-1933"",""gold-diggers-of-1933"",""footlight-parade"",""the-undead""]","[]","[]","[{""id"":""warner-1933-musical-cycle"",""type"":""film"",""label"":""Warner Bros. 1933 musical cycle"",""role"":""organizing""}]","[""media-genealogy"",""systems-investigation""]","high",""
"3dm/broadway-babies","Broadway Babies: The Last Summer Before the Money Vanished","published","2026-07-11T00:00:00.000Z","cultural-thread","hobfarm-presents","3dm","3dm","","feature","article","[""3dm"",""Dick Miller"",""Broadway Babies"",""Alice White"",""Marion Byron"",""Sally Eilers"",""early sound"",""Great Depression"",""Warner Bros.""]","[]","Broadway Babies at the edge of the Depression and its sourced route through film history to Dick Miller.","film-tv","[""film-history"",""pre-code-hollywood"",""musical-film"",""great-depression"",""character-actors""]","[""3dm""]","[""alice-white"",""marion-byron"",""sally-eilers"",""dick-miller""]","[""first-national-pictures"",""warner-bros""]","[]","[""great-depression""]","[""broadway-babies"",""the-last-hurrah"",""the-undead""]","[]","[]","[{""id"":""broadway-babies-1929-film"",""type"":""film"",""label"":""Broadway Babies (1929)"",""role"":""origin""}]","[""connection-map"",""media-genealogy""]","high",""
"3dm/enter-the-millerverse","Enter the Millerverse: What Is 3DM?","published","2026-07-10T00:00:00.000Z","cultural-thread","hobfarm-presents","3dm","3dm","","feature","article","[""3dm"",""Dick Miller"",""film history"",""cult cinema"",""Roger Corman"",""Joe Dante"",""character actors"",""Walter Paisley""]","[]","Dick Miller's career as the trunk of a sourced movie-connection map.","film-tv","[""film-history"",""cult-film"",""character-actors"",""production-systems""]","[""3dm""]","[""dick-miller"",""billy-barty"",""roger-corman""]","[""new-world-pictures""]","[]","[]","[""the-undead"",""a-bucket-of-blood"",""the-howling""]","[]","[]","[]","[""connection-map"",""media-genealogy""]","high",""
"3dm/the-mouse-in-the-cat-musical","The Mouse in the Cat Musical","published","2026-07-10T00:00:00.000Z","cultural-thread","hobfarm-presents","3dm","3dm","","feature","article","[""3dm"",""Dick Miller"",""Billy Barty"",""Warner Bros."",""1930s"",""character actors"",""fantasy"",""Roger Corman""]","[]","Billy Barty's mouse performance in Footlight Parade and the documented route to Dick Miller in The Undead.","film-tv","[""film-history"",""pre-code-hollywood"",""musical-film"",""character-actors"",""production-systems""]","[""3dm""]","[""billy-barty"",""dick-miller"",""busby-berkeley""]","[""warner-bros""]","[]","[]","[""footlight-parade"",""the-undead""]","[]","[]","[{""id"":""footlight-parade-mouse-number"",""type"":""film"",""label"":""Footlight Parade, Sittin' on a Backyard Fence number"",""role"":""origin""}]","[""connection-map"",""media-genealogy""]","high",""
"3dm/you-know-nothing-of-my-algorithm","You Know Nothing of My Algorithm","published","2026-07-10T00:00:00.000Z","cultural-thread","hobfarm-presents","3 Degrees of Dick Miller","3dm","","feature","article","[""3dm"",""frank mchugh"",""marshall mcluhan"",""television history"",""algorithms"",""funnel buckets"",""media theory""]","[""instagram-funnel-buckets"",""how-the-money-eats-the-medium"",""3dm/1933-the-year-warner-bros-built-a-world""]","Frank McHugh's experimental-television credit, its 3DM route, and the programming logic that became the feed.","film-tv","[""television-history"",""media-theory"",""recommendation-systems"",""social-media""]","[""3dm""]","[""frank-mchugh"",""marshall-mcluhan"",""dick-miller""]","[""nbc""]","[]","[]","[""nbc-experiment-in-television"",""the-last-hurrah"",""the-howling""]","[]","[""recommendation-algorithms""]","[{""id"":""to-wally-pantoni-broadcast"",""type"":""broadcast"",""label"":""To Wally Pantoni We Leave a Credenza (1968)"",""role"":""origin""}]","[""connection-map"",""media-genealogy""]","high",""
"a-false-recipe-a-real-image","A False Recipe, a Real Image","published","2026-06-09T00:00:00.000Z","grimoire","workshop-notes","","","","","workshop-note","[""grimoire"",""cross-pollination"",""creative systems"",""process"",""concept development"",""speculative artifacts""]","[]","A Grimoire cross-pollination card that failed as a recipe and succeeded as a speculative visual artifact.","art-design","[""creative-systems"",""speculative-design"",""knowledge-systems"",""visual-development""]","[]","[]","[]","[]","[]","[]","[]","[""grimoire"",""ai-image-generation""]","[]","[""process-essay"",""visual-study""]","high",""
"a-world-of-geniuses-needs-a-system","A World of Geniuses Needs a System","published","2026-06-11T00:00:00.000Z","cultural-thread","essays-arguments","","","","","article","[""ai"",""agency"",""creative systems"",""grimoire"",""slop"",""process""]","[]","A practical answer to the agency problem created by increasingly capable AI systems.","technology","[""artificial-intelligence"",""creative-systems"",""human-agency"",""creative-labor"",""knowledge-systems""]","[]","[""dario-amodei""]","[""anthropic""]","[]","[]","[]","[]","[""artificial-intelligence"",""grimoire""]","[]","[""systems-investigation"",""process-essay""]","high",""
