video_id,timestamp,auto_caption,manually_heard,confidence,quotation_status,note
3IP3c2CChfM,01:32,"Mr. Page, there's an anteater behind you.","Mr. Paige, there’s an anteater behind you.",high,direct-quote,"Opening line; surname corrected from audio and context."
3IP3c2CChfM,01:35,"He came from the Bronx Zoo.","He came from the Bronx Zoo.",high,direct-quote,"Speaker is Cavett or a nearby guest; article does not assign the line."
3IP3c2CChfM,01:51,"The rhinoceros and eat ants are the only two animals angelic.","The rhinoceros and the eat-ants are the only two animals angelic.",medium,paraphrase-only,"Dalí's grammar and animal name are difficult; preserve the idea, not the syntax."
3IP3c2CChfM,02:07,"The tongue is exactly represent the molecular structure of deoxyribonucleic acid.","The tongue is exactly represent the molecular structure of deoxyribonucleic acid.",high,partial-quote,"Public article quotes only the phrase 'the molecular structure of deoxyribonucleic acid.'"
3IP3c2CChfM,02:34,"The horn of rhinoceros is exactly mathematical.","The horn of the rhinoceros is exactly mathematical.",medium,paraphrase-only,"Grammar normalized only in paraphrase."
3IP3c2CChfM,02:50,"One logarithmic spiral.","One logarithmic spiral.",high,paraphrase-only,"Used as a claim, not a quotation."
3IP3c2CChfM,03:14,"Your accent is difficult for me.","Your accent is difficult for me. Could you speak slowly?",high,paraphrase-only,"Cavett asks Dalí to slow down."
3IP3c2CChfM,03:58,"English language is too foggy and imprecise.","The English language is too foggy and imprecise.",high,partial-quote,"Article paraphrases the full exchange."
3IP3c2CChfM,04:38,"I am responsible for my face and moustache.","I am responsible for my face and moustache.",high,paraphrase-only,"Dalí's division of labor."
3IP3c2CChfM,04:43,"My wife gives me the shoes, the dress and everything.","Madame Dalí gives me the shoes, the dress and everything.",high,paraphrase-only,"Article paraphrases as Gala supplies the shoes, dress, and everything else."
3IP3c2CChfM,05:09,"Constant tragical element in the human face.","A constant tragical element in the human face.",high,partial-quote,"Article normalizes 'tragical' to 'tragic' outside quotation marks."
3IP3c2CChfM,07:12,"I never see baseball. I see photographs.","I never see baseball; only photographs.",medium,paraphrase-only,"Dalí describes low bodies, dust, meditation, and melancholy; grammar is too compressed for direct quotation."
3IP3c2CChfM,07:56,"He came from the Bronx Zoo.","He came from the Bronx Zoo.",high,direct-quote,"Bronx Zoo origin repeated near the end."
3IP3c2CChfM,08:14,"We have a message.","We have a message.",high,direct-quote,"The edit ends at the first commercial break."
gFvSa_3xjZs,00:15,"At Sorbonne in Rolls Royce full of cauliflowers.","At the Sorbonne, in a Rolls-Royce full of cauliflowers.",high,paraphrase-only,"Cavett introduces the stunt."
gFvSa_3xjZs,00:23,"The same morphological problem of the horn rhinoceros.","The same morphological problem as the horn of the rhinoceros.",medium,paraphrase-only,"Article preserves the claimed comparison, not the grammar."
gFvSa_3xjZs,00:55,"Crossed logarithmic spirals.","Crossing logarithmic spirals.",high,paraphrase-only,"Used to identify the mathematical claim."
gFvSa_3xjZs,02:30,"Have you from the beginning of your work your great craftsmanship in painting a message to give to the people that we perhaps don't understand?","But have you, from the beginning of your work, your great craftsmanship in painting, a message to give to the people that we perhaps don’t understand?",high,paraphrase-only,"Gish's question is summarized in the article to avoid a long verbatim quote."
gFvSa_3xjZs,02:41,"No message.","No message.",high,direct-quote,"Quoted in article."
gFvSa_3xjZs,02:49,"Could you invent one?","Could you invent one?",high,direct-quote,"Quoted only in narrative summary."
gFvSa_3xjZs,02:52,"Impossible. I am against any kind of message.","Impossible. I am against any kind of message.",high,direct-quote,"Quoted in article."
gFvSa_3xjZs,03:05,"Hypnagogical image.","Hypnagogical image.",high,partial-quote,"Dalí uses hypnagogical; article uses the standard adjective hypnagogic outside quotation marks."
gFvSa_3xjZs,03:13,"Ten or fifteen minutes before sleep.","Ten or fifteen minutes before sleep.",high,paraphrase-only,"Dalí describes vivid irrational images at sleep onset."
gFvSa_3xjZs,03:42,"After twenty years scientists tell me what means.","Sometimes, after twenty years, scientists tell me what it means.",medium,paraphrase-only,"Article paraphrases later interpretation."
gFvSa_3xjZs,03:59,"Boogie boogie.","[Sounds like] boogie boogie.",medium,uncertain,"Article explicitly labels the syllables medium confidence."
gFvSa_3xjZs,04:23,"Tremendous power for cretinization everybody.","A tremendous power for [cretinization] everybody.",low,uncertain,"The key word sounds like cretinization; not directly quoted as certain."
gFvSa_3xjZs,05:30,"I am Catholic and monarchic.","I am Catholic and monarchic.",high,paraphrase-only,"Article summarizes the political passage and does not quote it."
gFvSa_3xjZs,06:34,"The picture with the razor and the eye.","The picture with the razor and the eye.",high,paraphrase-only,"Cavett introduces Un Chien Andalou."
gFvSa_3xjZs,09:09,"Would you autograph this?","Would you autograph this?",high,paraphrase-only,"Beginning of the large autograph sequence."
gFvSa_3xjZs,09:49,"That is a crown.","That is a crown.",high,paraphrase-only,"Cavett narrates the drawing."
gFvSa_3xjZs,09:56,"Drops of milk.","Drops of milk.",high,paraphrase-only,"Cavett narrates the drawing."
gFvSa_3xjZs,10:14,"And the date, 1971.","And the date, 1971.",high,paraphrase-only,"Cavett narrates the drawing."
gFvSa_3xjZs,10:39,"We have a message. We'll be right back after that.","We have a message. We’ll be right back after that.",high,direct-quote,"Closing quotation; this is the later commercial break in the companion edit."
